joint,parent,offset.x,offset.y,offset.z
Hips,,   0.00000,   0.00000,   0.00000
Chest,Hips,   0.00000,  33.00000,   0.00000
Chest2,Chest,   0.00000,  23.00000,   0.00000
Neck,Chest2,   0.00000,   7.00000,   0.00000
Head,Neck,   0.00000,  15.00000,   0.00000
Head_End,Head,   0.00000,   0.00000,   0.00000
LeftShoulder,Chest2, -14.00000,   0.00000,   0.00000
LeftElbow,LeftShoulder, -25.00000,   0.00000,   0.00000
LeftWrist,LeftElbow, -23.00000,   0.00000,   0.00000
LeftHand,LeftWrist,  -8.32000,   0.00000,   0.00000
LeftHand_End,LeftHand,   0.00000,   0.00000,   0.00000
RightShoulder,Chest2,  14.00000,   0.00000,   0.00000
RightElbow,RightShoulder,  25.00000,   0.00000,   0.00000
RightWrist,RightElbow,  23.00000,   0.00000,   0.00000
RightHand,RightWrist,   8.32000,   0.00000,   0.00000
RightHand_End,RightHand,   0.00000,   0.00000,   0.00000
HipLeft,Hips,  -9.52000,   0.00000,   0.00000
LeftKnee,HipLeft,   0.00000, -37.32000,   0.00000
LeftAnkle,LeftKnee,   0.00000, -34.60000,   0.00000
LeftFoot,LeftAnkle,   0.00000,   0.00000,   8.91000
LeftFoot_End,LeftFoot,   0.00000,   0.00000,   0.00000
RightHip,Hips,   9.52000,   0.00000,   0.00000
RightKnee,RightHip,   0.00000, -37.32000,   0.00000
RightAnkle,RightKnee,   0.00000, -34.60000,   0.00000
RightFoot,RightAnkle,   0.00000,   0.00000,   8.91000
RightFoot_End,RightFoot,   0.00000,   0.00000,   0.00000
